day,sales
272,576
273,5869
274,9747
275,5305
276,1699
277,7382
278,1035
279,5301
280,8665
281,9181
282,1525
283,7799
284,9432
285,5383
286,7189
287,1508
288,9811
289,1058
290,1503
291,8286
292,4628
293,7028
294,9691
295,4648
296,299
297,9545
298,6635
299,4548
300,1642
301,1031
302,1520
303,8888
304,1519
305,2429
306,1549
307,4332
308,6157
309,3814
310,6127
311,3118
312,9012
313,7243
314,7043
315,529
316,1228
317,3519
318,9098
319,1092
320,4703
321,9995
322,8374
323,8190
324,5838
325,4530
326,8592
327,6227
328,6413
329,345
330,9070
331,7965
332,1641
333,9721
334,1830
335,1554
336,5869
337,8770
338,5593
339,533
340,9729
341,9426
342,5405
343,1140
344,4042
345,8347
346,9235
347,1339
348,806
349,5722
350,1986
351,922
352,6613
353,5240
354,3888
355,6752
356,5428
357,218
358,4697
359,7444
360,8405
361,1729
362,5019
363,5679
364,305
365,4028
366,8063
367,684
368,9446
369,4732
370,3516
371,8693
372,4171
373,6000
374,7329
375,8617
376,4607
377,6975
378,194
379,3882
380,4374
381,1134
382,8211
383,3733
384,1545
385,527
386,1989
387,5801
388,6356
389,6413
390,3635
391,1158
392,7982
393,5243
394,7720
395,9953
396,4615
397,7055
398,1181
399,3395
400,7018
401,6645
402,3939
403,3337
404,2596
405,4254
406,5587
407,3843
408,7690
409,4835
410,8456
411,3615
412,2296
413,5891
414,6859
415,6319
416,4995
417,2722
418,4284
419,6768
420,2833
421,1952
422,6665
423,2737
424,9386
425,948
426,9275
427,3041
428,8275
429,6421
430,8464
431,8011
432,8814
433,1876
434,840
435,3673
436,2799
437,2418
438,3164
439,2100
440,8056
441,4550
442,1556
443,3838
444,4110
445,9011
446,6213
447,9921
448,9456
449,9474
450,6245
451,9241
452,3878
453,2606
454,5645
455,2601
456,4264
457,8923
458,4808
459,6010
460,4999
461,5299
462,7570
463,5607
464,9489
465,5710
466,8248
467,7408
468,539
469,5533
470,3065
471,5802
472,7188
473,3609
474,7150
475,6434
476,1152
477,931
478,8407
479,6158
480,4264
481,9251
482,9420
483,3971
484,4935
485,1886
486,1271
487,8913
488,7112
489,7823
490,6864
491,1069
492,6377
493,305
494,6568
495,6573
496,6549
497,4652
498,6089
499,8246
500,8355
501,3434
502,1935
503,5383
504,1869
505,6813
506,1084
507,4845
508,2913
509,5594
510,7147
511,1108
512,854
513,4852
514,3018
515,8841
516,6172
517,2089
518,3851
519,2012
520,3900
521,5797
522,4573
523,2255
524,3134
525,1774
526,4933
527,6461
528,9663
529,2004
530,8153
531,7893
532,2380
533,7595
534,7085
535,8130
536,4990
537,3933
538,6420
539,4217
540,7395
541,113
542,4038
543,1725
544,9288
545,1012
546,9814
547,4496
548,3555
549,9392
550,2741
551,6861
552,1373
553,4300
554,2204
555,4730
556,5213
557,750
558,4745
559,8255
560,7304
561,1090
562,996
563,2875
564,7932
565,617
566,2767
567,8881
568,3327
569,9652
570,7761
571,6439
572,1861
573,3283
574,9661
575,8
576,3773
577,7533
578,7925
579,8191
580,7381
581,5362
582,1284
583,5376
584,7069
585,5206
586,8688
587,7346
588,6559
589,9936
590,4515
591,6437
592,4166
593,3207
594,8196
595,3806
596,1260
597,5325
598,4684
599,5786
600,2156
601,4169
602,7590
603,8616
604,4459
605,1817
606,5444
607,4301
608,3464
609,2721
610,8237
611,2596
612,6585
613,3344
614,3590
615,6282
616,7758
617,8225
618,314
619,5052
620,563
621,2401
622,2602
623,2646
624,3713
625,5617
626,8543
627,859
628,7887
629,6774
630,9111
631,559
632,4359
633,8700
634,1983
635,6591
636,9142
637,6512
638,2133
639,2526
640,3241
641,7150
642,4736
643,4111
644,8475
645,5367
646,2185
647,5381
648,5160
649,6564
650,4460
651,1537
652,4123
653,6074
654,3298
655,696
656,2334
657,5431
658,7872
659,3083
660,3176
661,9804
662,5708
663,1950
664,2327
665,3981
666,9764
667,1438
668,5253
669,1713
670,7969
671,3361
672,7133
673,2168
674,4569
675,2430
676,3866
677,416
678,9071
679,5010
680,572
681,6980
682,6999
683,7295
684,1082
685,9867
686,5956
687,1616
688,4545
689,8448
690,6174
691,2010
692,4621
693,1112
694,7037
695,4558
696,5361
697,7960
698,7407
699,2338
700,5863
701,6455
702,5727
703,4667
704,4547
705,520
706,227
707,6451
708,6080
709,8040
710,5823
711,7444
712,926
713,1509
714,1484
715,2496
716,741
717,3713
718,514
719,361
720,4654
721,4980
722,9577
723,9798
724,2249
725,5764
726,2656
727,380
728,472
729,6346
730,3302
731,1084
732,4933
733,9324
734,4433
735,9619
736,3397
737,6296
738,2285
739,947
740,9336
741,8186
742,8402
743,9905
744,6479
745,9200
746,7875
747,483
748,8106
749,5535
750,1483
751,6931
752,1260
753,1595
754,251
755,2191
756,2943
757,1987
758,4837
759,5068
760,8156
761,3185
762,5945
763,3288
764,6278
765,8954
766,3713
767,3818
768,2080
769,5430
770,385
771,781
772,9899
773,3936
774,6140
775,7638
776,6619
777,5654
778,8275
779,5194
780,8065
781,7708
782,9680
783,7944
784,7477
785,1953
786,4929
787,9034
788,9187
789,429
790,1834
791,5692
792,7554
793,9718
794,5887
795,6022
796,4457
797,9956
798,5502
799,1046
800,4947
801,9342
802,5146
803,2169
804,5879
805,4769
806,8295
807,1799
808,9553
809,5795
810,1376
811,1800
812,6507
813,1911
814,3762
815,9664
816,5942
817,7950
818,9604
819,9188
820,8919
821,3104
822,7021
823,3574
824,737
825,1218
826,4525
827,1748
828,6063
829,9434
830,6680
831,4683
832,2887
833,6054
834,9098
835,7960
836,1722
837,8848
838,4954
839,9057
840,7270
841,2408
842,4874
843,3258
844,5719
845,2645
846,8622
847,5417
848,4961
849,5859
850,8995
851,9393
852,72
853,3003
854,3519
855,8946
856,1761
857,6718
858,5789
859,6537
860,4220
861,5854
862,2692
863,5212
864,4173
865,6399
866,8624
867,5381
868,8576
869,1271
870,9704
871,7997
872,1535
873,6215
874,8376
875,1870
876,4046
877,5001
878,6860
879,9850
880,2276
881,3442
882,3487
883,9281
884,4443
885,1511
886,8629
887,2747
888,2397
889,3936
890,1425
891,6583
892,2671
893,9797
894,2596
895,1058
896,1765
897,4601
898,1135
899,8009
900,5517
901,6196
902,9216
903,5394
904,3712
905,7837
906,8242
907,1386
908,4484
909,6118
910,2707
911,2099
912,3720
913,1938
914,2369
915,5597
916,6592
917,7920
918,9528
919,3747
920,6887
921,2066
922,1242
923,7668
924,4032
925,7346
926,6479
927,1960
928,8033
929,4628
930,1033
931,6119
932,9347
933,7802
934,121
935,4914
936,8958
937,6926
938,7106
939,5252
940,8799
941,3244
942,1678
943,5218
944,1928
945,7912
946,4615
947,5770
948,1146
949,3192
950,7566
951,2660
952,6347
953,8330
954,8549
955,5263
956,4800
957,7479
958,2138
959,9217
960,5724
961,3064
962,2003
963,5742
964,2800
965,3250
966,164
967,8943
968,3362
969,1272
970,9967
971,4401
972,5436
973,6062
974,1875
975,9115
976,404
977,499
978,145
979,7289
980,4152
981,8625
982,870
983,7363
984,3745
985,7230
986,8499
987,2872
988,8095
989,963
990,1347
991,3715
992,5363
993,691
994,6051
995,7914
996,641
997,5151
998,1643
999,2076
1000,545
1001,9252
1002,6943
1003,4105
1004,1637
1005,4182
1006,3376
1007,3022
1008,6965
1009,5280
1010,5247
1011,527
1012,7587
1013,9876
1014,4926
1015,7934
1016,3193
1017,3357
1018,6080
1019,6130
1020,450
1021,2384
1022,7742
1023,6782
1024,2009
1025,4334
1026,2532
1027,7685
1028,1456
1029,7418
1030,38
1031,7001
1032,9133
1033,5713
1034,3560
1035,2061
1036,9649
1037,799
1038,5848
1039,4514
1040,5577
1041,5154
1042,2
1043,2620
1044,8614
1045,8598
1046,6454
1047,1004
1048,9837
1049,1098
1050,9250
1051,2342
1052,9548
1053,4991
1054,9746
1055,9643
1056,7263
1057,5499
1058,4646
1059,518
1060,2312
1061,6213
1062,9299
1063,2553
1064,3465
1065,3586
1066,4539
1067,5677
1068,5797
1069,1108
1070,9706
1071,96
1072,3940
1073,7670
1074,4957
1075,7771
1076,2455
1077,2246
1078,6248
1079,3762
1080,8283
1081,2541
1082,4653
1083,6668
1084,4245
1085,5584
1086,8808
1087,3092
1088,1136
1089,7034
1090,2798
1091,7447
1092,9987
1093,4743
1094,9343
1095,6018
1096,2325
1097,9658
1098,8163
1099,2013
1100,8770
1101,5350
1102,3015
1103,1416
1104,6590
1105,9758
1106,3521
1107,8056
1108,9033
1109,9529
1110,2029
1111,666
1112,1571
1113,8402
1114,6976
1115,5932
1116,8686
1117,1554
1118,2693
1119,3855
1120,6064
1121,6469
1122,4125
1123,1181
1124,8141
1125,8844
1126,4721
1127,5863
1128,8620
1129,9596
1130,5031
1131,1915
1132,18
1133,5126
1134,8626
1135,3180
1136,366
1137,1675
1138,3843
1139,745
1140,9103
1141,5302
1142,6622
1143,7931
1144,7631
1145,7641
1146,6319
1147,1290
1148,602
1149,1780
1150,1392
1151,146
1152,4693
1153,8374
1154,3539
1155,9852
1156,4370
1157,2110
1158,3555
1159,488
1160,8807
1161,6316
1162,25
1163,997
1164,9948
1165,3391
1166,1240
1167,3345
1168,2627
1169,4704
1170,4819
1171,7271
1172,3751
1173,9445
1174,6223
1175,2508
1176,8399
1177,7136
1178,7535
1179,4565
1180,8474
1181,4348
1182,3972
1183,4733
1184,317
1185,1614
1186,5302
1187,2783
1188,9781
1189,7260
1190,1796
1191,5224
1192,6099
1193,4844
1194,8554
1195,7104
1196,6107
1197,4161
1198,336
1199,3491
1200,4385
1201,7470
1202,6336
1203,1329
1204,4387
1205,4934
1206,93
1207,8145
1208,2781
1209,2774
1210,8645
1211,5640
1212,6904
1213,8148
1214,9293
1215,302
1216,7012
1217,1824
1218,7174
1219,9013
1220,6597
1221,9527
1222,2724
1223,5562
1224,4166
1225,8427
1226,8620
1227,6958
1228,2872
1229,5805
1230,922
1231,4492
1232,9553
1233,3406
1234,1563
1235,2311
1236,6234
1237,8678
1238,7711
1239,4459
1240,9969
1241,7102
1242,6972
1243,3726
1244,1493
1245,6494
1246,1192
1247,2866
1248,4781
1249,449
1250,6444
1251,6567
1252,6772
1253,4481
1254,2425
1255,9584
1256,9017
1257,1567
1258,550
1259,2567
1260,7330
1261,3103
1262,329
1263,8660
1264,9889
1265,4746
1266,6813
1267,2516
1268,1185
1269,6802
1270,5372
1271,2525
1272,2640
1273,7079
1274,5115
1275,3815
1276,5642
1277,8319
1278,9424
1279,8744
1280,3559
1281,8644
1282,7011
1283,2796
1284,4538
1285,9229
1286,4270
1287,1009
1288,5270
1289,418
1290,4102
1291,8113
1292,1931
1293,110
1294,7827
1295,4808
1296,3170
1297,9145
1298,8580
1299,2445
1300,8980
1301,9815
1302,2658
1303,2034
1304,5300
1305,149
1306,6060
1307,6881
1308,4129
1309,6960
1310,8980
1311,720
1312,5834
1313,7352
1314,6990
1315,8863
1316,3718
1317,5565
1318,5401
1319,4516
1320,4346
1321,7158
1322,5156
1323,7674
1324,8555
1325,9685
1326,9616
1327,9280
1328,5871
1329,4860
1330,8477
1331,4602
1332,9919
1333,2183
1334,9228
1335,9473
1336,4408
1337,3679
1338,5862
1339,8938
1340,1568
1341,3850
1342,9963
1343,4584
1344,2925
1345,3680
1346,4231
1347,2239
1348,4374
1349,8424
1350,1180
1351,3774
1352,1264
1353,7358
1354,5537
1355,1780
1356,7886
1357,9601
1358,5951
1359,7151
1360,1196
1361,7384
1362,3373
1363,4024
1364,1481
1365,6573
1366,4410
1367,8721
1368,3900
1369,898
1370,715
1371,7444
1372,4269
1373,9172
1374,4131
1375,9887
1376,180
1377,6760
1378,592
1379,9066
1380,706
1381,1379
1382,1640
1383,9945
1384,3740
1385,4018
1386,3858
1387,5372
1388,8369
1389,4092
1390,5731
1391,3849
1392,7166
1393,5214
1394,6414
1395,2650
1396,8302
1397,409
1398,441
1399,5136
1400,122
1401,2700
1402,6252
1403,9264
1404,4975
1405,1988
1406,1996
1407,7946
1408,9331
1409,5829
1410,1926
1411,9417
1412,7451
1413,8209
1414,2551
1415,2150
1416,3194
1417,7881
1418,8186
1419,737
1420,9688
1421,1862
1422,3016
1423,8761
1424,6152
1425,5822
1426,2437
1427,8673
1428,2980
1429,8892
1430,8292
1431,5931
1432,1278
1433,1756
1434,1343
1435,9156
1436,643
1437,359
1438,9803
1439,7879
1440,770
1441,7737
1442,5696
1443,7443
1444,5229
1445,1438
1446,7959
1447,8125
1448,577
1449,3926
1450,7013
1451,3506
1452,8627
1453,6735
1454,9094
1455,5527
1456,94
1457,392
1458,4568
1459,5333
1460,1761
1461,82
1462,7499
1463,1487
1464,2065
1465,3248
1466,3034
1467,8695
1468,6775
1469,722
1470,1856
1471,8211
1472,6664
1473,5129
1474,1061
1475,5868
1476,4760
1477,7953
1478,1692
1479,1156
1480,6364
1481,1620
1482,5928
1483,1506
1484,563
1485,2740
1486,8383
1487,6763
1488,624
1489,3799
1490,2926
1491,4537
1492,6119
1493,6796
1494,3246
1495,1329
1496,5717
1497,2474
1498,5848
1499,1049
1500,6454
1501,4795
1502,2905
1503,9079
1504,2245
1505,8650
1506,7093
1507,4379
1508,3478
1509,9871
1510,1341
1511,3650
1512,5659
1513,7069
1514,6785
1515,3016
1516,9614
1517,5513
1518,7847
1519,4834
1520,1638
1521,9389
1522,2668
1523,6069
1524,7098
1525,3803
1526,1437
1527,4674
1528,897
1529,8100
1530,5682
1531,8279
1532,2243
1533,2616
1534,2866
1535,1700
1536,3003
1537,3937
1538,7466
1539,259
1540,7220
1541,6516
1542,2642
1543,274
1544,1598
1545,9142
1546,3140
1547,6247
1548,7804
1549,7915
1550,6306
1551,9090
1552,8172
1553,5348
1554,6918
1555,1193
1556,2542
1557,740
1558,8826
1559,7333
1560,5484
1561,948
1562,9111
1563,6267
1564,2923
1565,7136
1566,8592
1567,6147
1568,5312
1569,837
1570,3784
1571,4112
1572,2268
1573,6060
1574,5857
1575,814
1576,8248
1577,501
1578,7860
1579,2397
1580,6583
1581,8693
1582,8615
1583,7372
1584,655
1585,7953
1586,3727
1587,8439
1588,4300
1589,2224
1590,2386
1591,969
1592,3837
1593,6239
1594,8330
1595,8183
1596,1715
1597,4234
1598,4827
1599,7552
1600,8234
1601,972
1602,722
1603,8766
1604,4245
1605,5369
1606,9055
1607,9616
1608,4723
1609,5788
1610,6795
1611,4973
1612,3746
1613,993
1614,9417
1615,46
1616,3207
1617,4934
1618,851
1619,7604
1620,9249
1621,9337
1622,7863
1623,3339
1624,1206
1625,1622
1626,3741
1627,6237
1628,7372
1629,63
1630,1131
1631,1973
1632,6736
1633,4737
1634,8856
1635,1086
1636,6952
1637,4103
1638,1123
1639,7609
1640,4697
1641,2139
1642,6516
1643,4916
1644,5679
1645,4541
1646,7141
1647,9039
1648,9623
1649,8513
1650,865
1651,9020
1652,4215
1653,6181
1654,1110
1655,2766
1656,1535
1657,1889
1658,8147
1659,5541
1660,3367
1661,8051
1662,1543
1663,8392
1664,775
1665,7896
1666,4343
1667,9293
1668,8626
1669,7081
1670,1715
1671,7057
1672,5412
1673,4948
1674,6999
1675,893
1676,8137
1677,2877
1678,1714
1679,2850
1680,7597
1681,6816
1682,5363
1683,5907
1684,249
1685,9303
1686,6348
1687,4106
1688,1189
1689,8609
1690,306
1691,8327
1692,222
1693,8881
1694,4065
1695,547
1696,2600
1697,8431
1698,5862
1699,5950
1700,881
1701,6520
1702,1957
1703,4729
1704,6310
1705,6076
1706,7475
1707,5576
1708,7221
1709,1677
1710,3125
1711,2210
1712,2923
1713,8207
1714,1695
1715,2882
1716,7128
1717,266
1718,4682
1719,9029
1720,5290
1721,226
1722,4096
1723,6510
1724,9565
1725,1222
1726,71
1727,5852
1728,4139
1729,7351
1730,9652
1731,4033
1732,3434
1733,4024
1734,8460
1735,556
1736,7226
1737,7380
1738,5796
1739,1652
1740,5932
1741,5888
1742,5193
1743,7271
1744,6716
1745,4018
1746,9686
1747,4935
1748,1032
1749,8331
1750,2086
1751,1123
1752,7854
1753,3251
1754,691
1755,2649
1756,2263
1757,9637
1758,3007
1759,7751
1760,6748
1761,9885
1762,1447
1763,7804
1764,3199
1765,6222
1766,5840
1767,4590
1768,83
1769,7822
1770,7655
1771,150
1772,7127
1773,3157
1774,2961
1775,3123
1776,2932
1777,2807
1778,5138
1779,8897
1780,7030
1781,8324
1782,4231
1783,683
1784,4056
1785,2500
1786,4444
1787,262
1788,1298
1789,8752
1790,516
1791,6527
1792,229
1793,4696
1794,2468
1795,7432
1796,907
1797,4061
1798,3131
1799,7274
1800,4706
1801,3275
1802,4312
1803,5498
1804,7890
1805,4647
1806,1821
1807,2038
1808,6637
1809,2569
1810,4547
1811,5638
1812,8923
1813,4555
1814,6305
1815,2224
1816,9770
1817,3468
1818,9746
1819,3650
1820,5606
1821,36
1822,7629
1823,1307
1824,7392
1825,4363
1826,1997
1827,1925
1828,5517
1829,751
1830,8642
1831,5584
1832,731
1833,6629
1834,4783
1835,3689
1836,3518
1837,7656
1838,1987
1839,2515
1840,3418
1841,3299
1842,8055
1843,671
1844,4359
1845,9069
1846,784
1847,9474
1848,2094
1849,3894
1850,6885
1851,4415
1852,9942
1853,3176
1854,4348
1855,9949
1856,5603
1857,2507
1858,2366
1859,5036
1860,3785
1861,9498
1862,2096
1863,7394
1864,2271
1865,4554
1866,7049
1867,5783
1868,5887
1869,2575
1870,5960
1871,8345
1872,2413
1873,7696
1874,8760
1875,3380
1876,1675
1877,2350
1878,1882
1879,2213
1880,7520
1881,1214
1882,9981
1883,1236
1884,1564
1885,2208
1886,6973
1887,9450
1888,7131
1889,3294
1890,6258
1891,426
1892,2738
1893,5220
1894,7185
1895,5752
1896,9091
1897,5173
1898,444
1899,2518
1900,6443
1901,5485
1902,8606
1903,4981
1904,12
1905,4750
1906,3984
1907,9504
1908,7482
1909,7544
1910,9252
1911,9258
1912,7842
1913,7042
1914,6807
1915,2148
1916,5252
1917,5141
1918,5412
1919,387
1920,5823
1921,9616
1922,5105
1923,1873
1924,3581
1925,1636
1926,9335
1927,2826
1928,3222
1929,6395
1930,5952
1931,7783
1932,297
1933,1583
1934,6537
1935,7492
1936,6328
1937,7146
1938,3709
1939,6246
1940,5687
1941,5641
1942,2596
1943,9447
1944,9512
1945,9393
1946,6766
1947,6732
1948,4580
1949,7587
1950,8516
1951,6490
1952,7637
1953,7305
1954,9783
1955,9901
1956,418
1957,8078
1958,9310
1959,397
1960,8638
1961,4428
1962,8721
1963,452
1964,220
1965,3303
1966,7931
1967,2835
1968,8867
1969,4592
1970,786
1971,2854
1972,8571
1973,1775
1974,1015
1975,7585
1976,9335
1977,9322
1978,927
1979,7251
1980,8069
1981,9854
1982,7681
1983,2526
1984,4532
1985,684
1986,3514
1987,2133
1988,4690
1989,8097
1990,1424
1991,73
1992,4025
1993,6395
1994,926
1995,6431
1996,8765
1997,7936
1998,6596
1999,6918
2000,1357
2001,6143
2002,8833
2003,3020
2004,4976
2005,4838
2006,4257
2007,2196
2008,3735
2009,1774
2010,9855
2011,2662
2012,233
2013,7875
2014,7880
2015,6157
2016,8241
2017,3603
2018,7481
2019,6749
2020,2934
2021,905
2022,2630
2023,7447
2024,186
2025,4175
2026,9224
2027,4713
2028,659
2029,2103
2030,5366
2031,7969
2032,5583
2033,5348
2034,896
2035,9256
2036,7669
2037,1915
2038,5113
2039,5947
2040,9921
2041,7725
2042,5243
2043,4766
2044,6012
2045,3797
2046,3520
2047,9074
2048,6024
2049,6475
2050,5398
2051,8842
2052,6546
2053,6786
2054,2962
2055,4624
2056,1292
2057,6960
2058,9849
2059,2592
2060,7843
2061,9368
2062,4611
2063,4840
2064,5333
2065,9881
2066,9342
2067,9809
2068,7284
2069,2991
2070,4680
2071,2646
2072,5785
2073,288
2074,2407
2075,5710
2076,554
2077,1294
2078,46
2079,8820
2080,6417
2081,5081
2082,5622
2083,414
2084,8592
2085,6080
2086,9896
2087,3117
2088,9905
2089,3154
2090,1149
2091,5040
2092,455
2093,1346
2094,9900
2095,3918
2096,5901
2097,2637
2098,3290
2099,1878
2100,8704
2101,9814
2102,982
2103,9368
2104,6873
2105,4958
2106,2291
2107,4299
2108,6219
2109,7638
2110,3981
2111,7039
2112,1008
2113,3885
2114,2414
2115,2593
2116,1297
2117,8130
2118,4926
2119,6528
2120,4293
2121,2866
2122,2859
2123,7462
2124,4750
2125,8657
2126,7332
2127,7414
2128,909
2129,7549
2130,6436
2131,4620
2132,1215
2133,1313
2134,4115
2135,8922
2136,2931
2137,7348
2138,7758
2139,8500
2140,5957
2141,2758
2142,5263
2143,2087
2144,5425
2145,762
2146,8079
2147,9179
2148,7450
2149,5415
2150,9315
2151,5037
2152,5432
2153,1169
2154,2251
2155,9213
2156,6373
2157,8538
2158,5137
2159,747
2160,9790
2161,3757
2162,5036
2163,8118
2164,9460
2165,9567
2166,8734
2167,5491
2168,6080
2169,2750
2170,9195
2171,2377
2172,4050
2173,8294
2174,895
2175,7086
2176,7058
2177,4021
2178,6805
2179,7143
2180,4028
2181,7983
2182,7190
2183,5265
2184,452
2185,4814
2186,9842
2187,2921
2188,2486
2189,4834
2190,9701
2191,4603
2192,2336
2193,6035
2194,788
2195,3061
2196,8535
2197,1396
2198,5729
2199,8447
2200,7628
2201,6823
2202,5526
2203,5297
2204,908
2205,2564
2206,8752
2207,7252
2208,816
2209,7000
2210,136
2211,4255
2212,6372
2213,9745
2214,6180
2215,1016
2216,8488
2217,9975
2218,7854
2219,4173
2220,8302
2221,7935
2222,1501
2223,6024
2224,7030
2225,9919
2226,9853
2227,3799
2228,4784
2229,9937
2230,8027
2231,1504
2232,602
2233,8948
2234,7423
2235,9541
2236,8408
2237,4699
2238,9257
2239,7714
2240,7703
2241,1409
2242,7276
2243,8238
2244,1241
2245,9513
2246,7511
2247,4748
2248,4539
2249,3612
2250,9397
2251,1549
2252,7339
2253,9532
2254,3799
2255,8026
2256,5085
2257,2460
2258,5563
2259,7580
2260,457
2261,5248
2262,5149
2263,5531
2264,639
2265,2599
2266,3810
2267,9528
2268,1682
2269,3231
2270,761
2271,8423
2272,6767
2273,382
2274,7645
2275,3034
2276,3138
2277,2607
2278,7496
2279,7432
2280,7800
2281,3014
2282,211
2283,815
2284,1907
2285,5701
2286,2956
2287,4625
2288,9125
2289,464
2290,6547
2291,8501
2292,5163
2293,5850
2294,9226
2295,5591
2296,2068
2297,9995
2298,7642
2299,2369
2300,8312
2301,9932
2302,7686
2303,6016
2304,36
2305,9067
2306,4293
2307,4997
2308,3646
2309,9279
2310,3870
2311,8348
2312,6410
2313,3468
2314,9574
2315,7532
2316,1700
2317,4252
2318,7477
2319,3450
2320,5191
2321,6931
2322,9856
2323,3203
2324,3376
2325,5423
2326,2961
2327,4252
2328,6723
2329,8779
2330,5703
2331,2947
2332,682
2333,2403
2334,6279
2335,3574
2336,5014
2337,72
2338,4347
2339,5202
2340,5906
2341,8553
2342,4484
2343,9090
2344,2285
2345,6980
2346,6845
2347,2154
2348,2343
2349,8288
2350,264
2351,5224
2352,5605
2353,955
2354,1631
2355,2499
2356,4814
2357,9452
2358,6246
2359,7896
2360,8158
2361,7033
2362,5546
2363,2008
2364,927
2365,1759
2366,67
2367,1595
2368,2923
2369,2193
2370,7550
2371,2803
2372,4072
2373,5152
2374,5026
2375,9552
2376,6608
2377,5114
2378,8708
2379,650
2380,6892
2381,704
2382,5626
2383,5301
2384,8158
2385,4056
2386,3163
2387,3166
2388,8278
2389,5178
2390,9564
2391,6620
2392,7319
2393,6786
2394,7998
2395,9358
2396,7156
2397,5325
2398,9591
2399,4368
2400,2358
2401,2862
2402,5994
2403,3125
2404,736
2405,7937
2406,2557
2407,174
2408,9764
2409,6852
2410,6089
2411,1913
2412,343
2413,6856
2414,556
2415,7348
2416,1415
2417,2081
2418,7069
2419,5163
2420,1418
2421,3319
2422,4164
2423,6695
2424,8030
2425,8312
2426,9850
2427,8224
2428,3767
2429,1599
2430,7515
2431,823
2432,810
2433,4242
2434,9112
2435,833
2436,1565
2437,2648
2438,7996
2439,5391
2440,7138
2441,4344
2442,5843
2443,4211
2444,1285
2445,9584
2446,7708
2447,6789
2448,2877
2449,4060
2450,7189
2451,5685
2452,9664
2453,4758
2454,4879
2455,5175
2456,85
2457,4979
2458,2895
2459,1939
2460,9862
2461,9615
2462,672
2463,2855
2464,7185
2465,5672
2466,9954
2467,250
2468,4557
2469,2987
2470,8478
2471,7678
2472,6627
2473,4105
2474,5627
2475,8265
2476,5766
2477,8579
2478,7811
2479,1612
2480,7702
2481,6759
2482,2944
2483,4220
2484,2524
2485,2331
2486,7573
2487,4954
2488,9608
2489,1332
2490,4546
2491,3823
2492,5022
2493,6430
2494,2273
2495,1524
2496,5786
2497,2442
2498,7066
2499,5811
2500,8121
2501,7247
2502,9221
2503,5834
2504,5856
2505,4839
2506,3
2507,2626
2508,6174
2509,4394
2510,6190
2511,7728
2512,7256
2513,9919
2514,3383
2515,616
2516,8415
2517,2127
2518,451
2519,3765
2520,8807
2521,8367
2522,3804
2523,7757
2524,2571
2525,8673
2526,7187
2527,1448
2528,8850
2529,7377
2530,4783
2531,2565
2532,8968
2533,8706
2534,8504
2535,9013
2536,6735
